,,Express Late OB,"Overall
Late OB        ",OB Time (hr),"B2C
Target
Gross","B2C
Order 
Proj.","B2C
Proj.
Net","排班
proj.","Actual 
Net Order","Actual
Order
Gap","Actual
Piece
Gap"
2020-06-19 00:00:00,Fri,0,0,1.7,,5280,4488,4039,4237,0.04902203516,0.02640917719
2020-06-20 00:00:00,Sat,0.014018692,0,1.9,,5950,5057.5,4552,4256,-0.06502636204,-0.09292618629
2020-06-21 00:00:00,Sun,0,0,1.7,,6838,5812.3,5231,4041,-0.2274899637,-0.2943350538
2020-06-22 00:00:00,Mon,0.010291595,0,1.9,,7568.95,6433.6075,5790,4594,-0.2065630397,-0.1881404721
2020-06-23 00:00:00,Tue,0.002188184,0,1.4,,7260,6171,5554,4349,-0.216960749,-0.2779378226
2020-06-24 00:00:00,Wed,0.00209205,0.000236518,1.3,,9492.25,8068.4125,7261,4777,-0.3421016389,-0.3869072212
2020-06-25 00:00:00,Thu,0.043771044,0.004149378,1.5,,5734.180974999999,4874.053829,4387,3432,-0.2176886255,-0.2457260087
2020-06-26 00:00:00,Fri,0.050147493,0.000524384,1.4,,6023.5524000000005,5120.01954,4608,4197,-0.08919270833,-0.1493055556
2020-06-27 00:00:00,Sat,0,0.002166065,1.9,,6248.02535,5310.821548,4780,4440,-0.07112970711,-0.07894002789
2020-06-28 00:00:00,Sun,0,0.000995768,2.3,,6122.7425,5204.331125,4684,4161,-0.1116567037,-0.140834045
2020-06-29 00:00:00,Mon,0,0.000701262,1.9,,6239.594206,5303.655075,5202,4879,-0.06209150327,0.00051262335
2020-06-30 00:00:00,Tue,0.009036145,0,1.7,,6255.15664,5316.883144,5462,4558,-0.1655071402,-0.135603564
AVG,,0.01549300563,0.0002924458333,2.029859681,#DIV/0!,7283.018764,6190.56595,5407.7,5659.666667,0.17991174,0.2944036738
W-1,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
Change%,,#REF!,#REF!,#REF!,#DIV/0!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2020-07-01 00:00:00,Wed,0.034340659,0,1.5,,8279.424975,7037.511229,6333,7468,0.1792199589,-0.01736933523
2020-07-02 00:00:00,Thu,0.00660066,0.000223364,1.7,,6392.4423750000005,5433.576019,4890,4987,0.01983640082,0.01411042945
2020-07-03 00:00:00,Fri,0,0,1.5,,6107.076112,5191.014695,4672,3822,-0.1819349315,-0.1493293379
2020-07-04 00:00:00,Sat,0,0,1.5,,7448.233949,6330.998857,5698,5856,0.02772902773,-0.02053352053
2020-07-05 00:00:00,Sun,0.022727273,0,2,,7250.6503680000005,6163.052813,5547,4965,-0.1049215792,-0.1781743886
2020-07-06 00:00:00,Mon,0.005540166,0.000155569,2.1,,9061,7701.85,6370,6389,0.002982731554,-0.08163265306
2020-07-07 00:00:00,Tue,0.004813478,0,3.9,,16365,13910.25,12222,14700,0.2027491409,-0.1383843343
2020-07-08 00:00:00,Wed,0.002824859,0,2.6,,5971,5075.35,4277,5214,0.2190787935,0.1147221573
2020-07-09 00:00:00,Thu,0.036855037,0.000273898,2.7,,5456,4637.6,3845,3990,0.03771131339,0.03745123537
2020-07-10 00:00:00,Fri,0,0,2.3,,5598,4758.3,4051,3767,-0.07010614663,0.03258454703
2020-07-11 00:00:00,Sat,0,0,2.2,,6151,5228.35,4435,4683,0.05591882751,0.2046599023
2020-07-12 00:00:00,Sun,0,0,2.2,,5809,4937.65,4178,3969,-0.0500239349,0.02329663316
2020-07-13 00:00:00,Mon,0,0,2.2,,5929,5039.65,5657,4726,-0.164574863,-0.188439102
2020-07-14 00:00:00,Tue,0.006472492,0.001388246,2.3,,6332,5382.2,5202,4706,-0.0953479431,-0.1250800974
2020-07-15 00:00:00,Wed,0,0,2.7,,5693,4839.05,5657,4863,-0.1403570797,-0.1466619527
2020-07-16 00:00:00,Thu,0.005714286,0,2.7,,5302,4506.7,4507,4003,-0.1118260484,-0.07566008431
2020-07-17 00:00:00,Fri,0,0,2.2,,5409,4597.65,4598,4261,-0.07329273597,-0.0980861244
2020-07-18 00:00:00,Sat,0,0.0002079,2.5,,7827,6652.95,4965,5551,0.1180261833,0.2388049681
2020-07-19 00:00:00,Sun,0,0,2.4,,5536,4705.6,4706,4550,-0.03314917127,0.03633659159
2020-07-20 00:00:00,Mon,0,0.000238607,2.3,,6223.474076755514,5289.952965,5290,4391,-0.1699432892,-0.09565217391
2020-07-21 00:00:00,Tue,0.024464832,0,2,,8670,7369.5,6846,5612,-0.1802512416,-0.2093680008
2020-07-22 00:00:00,Wed,0.023454158,0.000165426,2,,8949,7606.65,7228,6685,-0.07512451577,-0.08748385907
2020-07-23 00:00:00,Thu,0.004651163,0,2.1,,8714,7406.9,7000,5210,-0.2557142857,-0.1793333333
2020-07-24 00:00:00,Fri,0.002118644,0,2.1,,9870.147470964554,8389.62535,8390,4985,-0.4058402861,-0.3299562972
2020-07-25 00:00:00,Sat,0.024128686,0,2.5,,6229.807160808794,5295.336087,5296,6071,0.146336858,0.3526560926
2020-07-26 00:00:00,Sun,0.039215686,0,2.5,,5961.790184147106,5067.521657,5068,4843,-0.04439621152,0.04748750329
2020-07-27 00:00:00,Mon,0.008350731,0,2.3,,5673.96448,4822.869808,5657,3933,-0.3047551706,-0.2054092275
2020-07-28 00:00:00,Tue,0.002155172,0,1.9,,6628.99872,5634.648912,5202,4062,-0.2191464821,-0.08048186595
2020-07-29 00:00:00,Wed,0,0,1.8,,6402.06784,5441.757664,5592,4481,-0.198676681,-0.1502742012
2020-07-30 00:00:00,Thu,0.025500911,0,1.9,,6198.06784,5268.357664,4552,3807,-0.1636643234,-0.09087580551
2020-07-31 00:00:00,Fri,0.043,0,2.9,,6224,5290.4,5007,5053,0.009187138007,0.2577058784
AVG,,0.01041706106,8.558096774e-05,2.335686818,#DIV/0!,6979.424019,5968.155604,5578.645161,5213,0.1624729318,0.1603200653
M-1,,0.01549300563,0.0002924458333,2.029859681,#DIV/0!,7283.018764,6190.56595,5407.7,5659.666667,0.17991174,0.2944036738
Change%,,-0.005075944569,-0.0002068648656,0.1506641765,#DIV/0!,-0.04168528944,-0.03592730418,0.03161143578,-0.07892102008,-0.01743880822,-0.1340836085
2020-08-01 00:00:00,Sat,0.097,0,2.9,,7119,6051.15,5446,6076,0.1156812339,0.3881136002
2020-08-02 00:00:00,Sun,0,0,2.6,,6050,5142.5,4628,5330,0.1516853933,0.3294439643
2020-08-03 00:00:00,Mon,0.013,0,2.5,,5649.036556041887,4801.681073,4321,4673,0.08146262439,0.1173339505
2020-08-04 00:00:00,Tue,0.005,0,1.8,,6212.468983554185,5280.598636,4752,4502,-0.05260942761,0.02041245791
2020-08-05 00:00:00,Wed,0.013,0,1.6,,7416.552524830551,6304.069646,5674,6740,0.1878745153,-0.0036423452
2020-08-06 00:00:00,Thu,0,0,2.1,,7309.467288524813,6213.047195,5591,5494,-0.01734931139,-0.06933762595
2020-08-07 00:00:00,Fri,0,0,1.8,,7159.065583701107,6085.205746,5477,5348,-0.02355303999,-0.1241555596
2020-08-08 00:00:00,Sat,0,0,2.9,,19251.84793965647,16364.07075,14728,13004,-0.1170559479,-0.2758917255
2020-08-09 00:00:00,Sun,0,0,3.6,,6688.994773828956,5685.645558,5117,8384,0.6384600352,0.7609927692
2020-08-10 00:00:00,Mon,0.074,0.032,4.9,,14551.765740047389,12369.00088,10271,21994,1.141368903,0.7288482134
2020-08-11 00:00:00,Tue,0.002,0.065,2,,7477.261689888117,6355.672436,6906,11441,0.6566753548,0.4557872382
2020-08-12 00:00:00,Wed,0.016,0.083,2.8,,5671.772830136011,4821.006906,4331,7314,0.6887554837,0.4087585623
2020-08-13 00:00:00,Thu,0.138,0.002,4.6,,5484.485525042908,4661.812696,4617,4551,-0.01429499675,-0.04988809472
2020-08-14 00:00:00,Fri,0.002,0.003,2.2,,5632.743817665469,4787.832245,5202,4375,-0.1589773164,-0.1662821992
2020-08-15 00:00:00,Sat,0.01,0,3.2,,6959.467499318449,5915.547374,5852,6210,0.06117566644,0.2947140579
2020-08-16 00:00:00,Sun,0.022,0,3.5,,6198.8207954867485,5268.997676,5269,5465,0.03719870943,0.2085784779
2020-08-17 00:00:00,Mon,0,0,2.7,,10025.736874999999,8521.876344,8522,7023,-0.1758976766,-0.2773996714
2020-08-18 00:00:00,Tue,0.005,0,2.6,,6202.5725,5272.186625,5273,4905,-0.06978949365,-0.06473228396
2020-08-19 00:00:00,Wed,0.003,0,2.2,,6303.429749999999,5357.915288,5358,4909,-0.08379992535,-0.005474679607
2020-08-20 00:00:00,Thu,0.007,0,2.5,,5548.715249999999,4716.407963,4717,4177,-0.1144795421,-0.03285986856
2020-08-21 00:00:00,Fri,0.034,0,2.3,,6706.9379,5700.897215,5701,4404,-0.2275039467,-0.2032391978
2020-08-22 00:00:00,Sat,0.347,0.001,4.1,,7210.012500000001,6128.510625,6129,6878,0.1222059063,0.5995540327
2020-08-23 00:00:00,Sun,0.323,0.132,8,,6627.287638,5633.194492,5633,5533,-0.01775252974,0.3845197941
2020-08-24 00:00:00,Mon,0.449,0.001,7.1,,9052.5116,7694.63486,11412,6540,-0.4269190326,-0.3411613506
2020-08-25 00:00:00,Tue,0.055,0.002,2,,6263.71199204105,5324.155193,6308,5077,-0.1951490171,-0.04983090256
2020-08-26 00:00:00,Wed,0.005,0,2.9,,6540.665534961679,5559.565705,4910,5040,0.02647657841,0.1570264766
2020-08-27 00:00:00,Thu,0.014,0,2.7,,5812.96074828922,4941.016636,4812,4617,-0.04052369077,0.1057079523
2020-08-28 00:00:00,Fri,0.008,0,2.2,,6126.177799870945,5207.25113,4942,4363,-0.1171590449,-0.0140294078
2020-08-29 00:00:00,Sat,0.016,0,3.3,,7548.845664989186,6416.518815,5852,7035,0.20215311,0.5717133743
2020-08-30 00:00:00,Sun,,,4,,6871.828516999371,5841.054239,5007,5933,0.1849410825,0.5329205779
2020-08-31 00:00:00,Mon,,,2.4,,8514.4893783872,7237.315972,5332,7207,0.3516504126,0.51044011
AVG,,0.05717241379,0.01106896552,3.151037234,#DIV/0!,7435.654507,6311.623868,6067.419355,6598.129032,0.2600231579,0.3301116209
M-1,,0.01041706106,8.558096774e-05,2.335686818,#DIV/0!,6979.424019,5968.155604,5578.645161,5213,0.1624729318,0.1603200653
Change%,,0.04675535273,0.01098338455,0.3490837937,#DIV/0!,0.06536792808,0.05755015238,0.0876152147,0.265706701,0.09755022617,0.1697915555
2020-09-01 00:00:00,Tue,0.019,0,2.7,,13024.09062857557,11070.47703,9963,7637,-0.2334638161,-0.3391214159
2020-09-02 00:00:00,Wed,0.007,0,2.1,,10112.14237911876,8595.321022,7736,7158,-0.07471561531,-0.1415891072
2020-09-03 00:00:00,Thu,0.003,0.001,2.6,,8025.87621319483,6821.994781,6140,6417,0.04511400651,-0.06872964169
2020-09-04 00:00:00,Fri,0.009,0,2.6,,8180.746553689547,6953.634571,6258,5808,-0.07190795781,-0.08746138276
2020-09-05 00:00:00,Sat,0.009,0.001,3,,10032.303563316902,8527.458029,7674,9025,0.1760489966,0.3304230736
2020-09-06 00:00:00,Sun,0.161,0.01,4.5,,9612.13526517619,8170.314975,7353,7849,0.06745546036,0.2302008251
2020-09-07 00:00:00,Mon,0.01,0.262,3.3,,12751.948987761558,10839.15664,9755,8441,-0.1347001538,-0.09981206219
2020-09-08 00:00:00,Tue,0.027,0.001,2.6,,15399.902067163446,13089.91676,11781,7657,-0.3500551736,-0.3064256005
2020-09-09 00:00:00,Wed,0.017,0,3.6,,43283.063167388296,36790.60369,33111,37585,0.1351212588,0.03741958866
2020-09-10 00:00:00,Thu,0.443,0.107,3.8,,5316.852598856058,4519.324709,4068,7036,0.7295968535,0.6769911504
2020-09-11 00:00:00,Fri,0.058,0.043,2.8,,5194.985218777985,4415.737436,3974,4747,0.1945143432,0.2470223117
2020-09-12 00:00:00,Sat,0.051,0,4.7,,6642.080972813725,5645.768827,5081,6833,0.344814013,0.570556977
2020-09-13 00:00:00,Sun,0.007,0.177,3.7,,6131.228623624193,5211.54433,4690,5905,0.2590618337,0.5313432836
2020-09-14 00:00:00,Mon,0.015,0.3,2.7,,8203.32094599315,6972.822804,9234,6102,-0.3391812865,-0.2540610786
2020-09-15 00:00:00,Tue,0.014,0,2.4,,9612.2699836024,8170.429486,8973,7433,-0.1716259891,-0.2024592295
2020-09-16 00:00:00,Wed,0.005,0.002,2.1,,6204.521447380579,5273.84323,5274,4380,-0.1695108077,-0.04297813172
2020-09-17 00:00:00,Thu,0,0,2,,5477.928855059654,4656.239527,4656,4349,-0.06593642612,0.09700744559
2020-09-18 00:00:00,Fri,0.01,0.003,2.3,,5864.368527988623,4984.713249,4984,4282,-0.1408507223,-0.08747993579
2020-09-19 00:00:00,Sat,0.224,0,4.8,,7802.252010241278,6631.914209,6632,6164,-0.07056694813,0.2072778448
2020-09-20 00:00:00,Sun,0.027,0.008,3.4,,7091.149630292693,6027.477186,6027,5987,-0.006636801062,0.2449532659
2020-09-21 00:00:00,Mon,0.01,0.001,2.4,,6337.422230072172,5386.808896,5386,5727,0.06331229113,0.1455006808
2020-09-22 00:00:00,Tue,0.006,0,2.3,,7700.690751537233,6545.587139,6546,5253,-0.1975252062,-0.08509013138
2020-09-23 00:00:00,Wed,0.036,0,2.2,,8058.7998358648165,6849.97986,6850,6356,-0.07211678832,-0.03571776156
2020-09-24 00:00:00,Thu,0.004,0,2,,9136.573920582967,7766.087832,8361,5759,-0.3112067934,-0.23374397
2020-09-25 00:00:00,Fri,0.008,0,2.2,,4790.689345364859,4072.085944,4667,4187,-0.1028497964,0.04513963288
2020-09-26 00:00:00,Sat,0.007,0,2.6,,7327.906835006195,6228.72081,6824,5461,-0.1997362251,0.03487690504
2020-09-27 00:00:00,Sun,0.017,0,2.8,,6376.353943393626,5419.900852,6100,5566,-0.08754098361,0.197431694
2020-09-28 00:00:00,Mon,0.002,0,2.4,,6558.0087768007725,5574.30746,6698,6218,-0.07166318304,-0.01119737235
2020-09-29 00:00:00,Tue,0.005,0,2.2,,5696.4160068494,4841.953606,6438,4585,-0.2878223051,-0.2156466812
2020-09-30 00:00:00,Wed,0,0,2.1,,6374.287131474213,5418.144062,6633,4349,-0.3443389115,-0.2517714458
AVG,,0.04036666667,0.03053333333,2.8859536,#DIV/0!,9077.343881,7715.742298,7595.566667,7141.866667,0.1839663649,0.2019809876
M-1,,0.05717241379,0.01106896552,3.151037234,#DIV/0!,7435.654507,6311.623868,6067.419355,6598.129032,0.2600231579,0.3301116209
Change%,,-0.01680574713,0.01946436782,-0.08412583354,#DIV/0!,0.2207861289,0.2224654795,0.2518611658,0.08240785104,-0.07605679304,-0.1281306333
2020-10-01 00:00:00,Thu,0,0,2.3,,6348.280478851531,5396.038407,5126,4462,-0.1295357004,-0.07543243595
2020-10-02 00:00:00,Fri,0.006,0,1.7,,6797.9920076790395,5778.293207,5489,3499,-0.3625432684,-0.3201554624
2020-10-03 00:00:00,Sat,0,0,2.2,,10094.084449698421,8579.971782,8151,4956,-0.3919764446,-0.2671246882
2020-10-04 00:00:00,Sun,0,0,2.6,,7035.81656378781,5980.444079,5682,5150,-0.09362900387,0.1142790097
2020-10-05 00:00:00,Mon,0.003,0.003,2.1,,9583.369139317863,8145.863768,7738,5963,-0.2293874386,-0.1144998708
2020-10-06 00:00:00,Tue,0,0,2.5,,9373.944143750945,7967.852522,7570,6430,-0.1505944518,-0.09264641127
2020-10-07 00:00:00,Wed,0.005,0,2.8,,11004.999455015448,9354.249537,8887,6160,-0.3068527062,-0.239788455
2020-10-08 00:00:00,Thu,0.013,0,2.2,,24892.30931509546,21158.46292,20100,13285,-0.3390547264,-0.4808457711
2020-10-09 00:00:00,Fri,0.01,0,2.1,,8316.627269871205,7069.133179,6716,8698,0.2951161406,0.2648401826
2020-10-10 00:00:00,Sat,0.011,0.001,3.1,,24819.571310607535,21096.63561,20042,19118,-0.04610318332,-0.1054951269
2020-10-11 00:00:00,Sun,0,0,2.8,,7217.065627118644,6134.505783,5828,7042,0.2083047358,0.5021734157
2020-10-12 00:00:00,Mon,0,0.003,3.1,,6241.112485350383,5304.945613,6596,5818,-0.1179502729,0.08682029513
2020-10-13 00:00:00,Tue,0.006,0.001,3,,6301.692814903479,5356.438893,5848,6235,0.06617647059,0.2521659827
2020-10-14 00:00:00,Wed,0.02,0.114,3.3,,6423.189968714751,5459.711473,6188,5577,-0.0987394958,0.07800043094
2020-10-15 00:00:00,Thu,0.022,0,1.8,,5612.798793247692,4770.878974,4488,4024,-0.1033868093,0.04946524064
2020-10-16 00:00:00,Fri,0.002,0,2.4,,6003.292639600216,5102.798744,4847,3874,-0.2007427275,-0.1043256997
2020-10-17 00:00:00,Sat,0.007,0,2.7,,13823.889053880499,11750.3057,11163,5816,-0.4789931022,-0.3426498253
2020-10-18 00:00:00,Sun,0,0,5.4,,6757.556474693634,5743.923003,3957,5505,0.3912054587,0.7703647544
2020-10-19 00:00:00,Mon,0.031,0.06,3.9,,5719.128776083664,4861.25946,6118,6541,0.06914024191,0.4431186662
2020-10-20 00:00:00,Tue,0.273,0.001,6.7,,6589.252007641124,5600.864206,5321,8337,0.5668107499,0.8750861367
2020-10-21 00:00:00,Wed,0.434,0.07,5.6,,7195.787428519352,6116.419314,5811,6019,0.03579418345,0.1490850685
2020-10-22 00:00:00,Thu,0.046,0.002,3.2,,8207.267531833357,6976.177402,6627,6098,-0.0798249585,-0.0001508978422
2020-10-23 00:00:00,Fri,0.08,0,3.3,,10288.072946238854,8744.862004,8308,6534,-0.2135291286,-0.1372572621
2020-10-24 00:00:00,Sat,0.042,0,2.7,,13495.73837492401,11471.37762,12190,7377,-0.3948318294,-0.2350287121
2020-10-25 00:00:00,Sun,0.189,0.009,4.7,,11005.925800002886,9355.03693,8887,8410,-0.0536739057,0.2147331308
2020-10-26 00:00:00,Mon,0.17,0.435,4.6,,10513.896662336903,8936.812163,6460,7149,0.1066563467,0.5235294118
2020-10-27 00:00:00,Tue,0.234,0.304,5.1,,12538.836565118716,10658.01108,5440,10663,0.9601102941,1.084436275
2020-10-28 00:00:00,Wed,0.692,0.09,7,,11100.85388928566,9435.725806,6052,6275,0.0368473232,0.3605970478
2020-10-29 00:00:00,Thu,0.38,0.003,4.6,,9546.892812490853,8114.858891,4488,5707,0.2716131907,0.5632798574
2020-10-30 00:00:00,Fri,0.023,0.001,5.1,,9250.891177392574,7863.257501,5508,4784,-0.1314451707,0.09997579279
2020-10-31 00:00:00,Sat,0,0,2.6,,14357.806719795859,12204.13571,9248,5885,-0.3636461938,-0.1639994233
AVG,,0.08706451613,0.03538709677,3.560382905,#DIV/0!,10003.65541,8402.879074,7576.580645,6819.064516,0.2352972791,0.29391454
M-1,,0.04036666667,0.03053333333,2.8859536,#DIV/0!,9077.343881,7715.742298,7595.566667,7141.866667,0.1839663649,0.2019809876
Change%,,0.04669784946,0.004853763441,0.2336937451,#DIV/0!,0.102046539,0.08905647033,-0.002499618835,-0.04519856861,0.05133091423,0.09193355244
2020-11-01 00:00:00,Sun,0.087,0,3.8,,10663.668405529519,9064.11814470009,10717,8231,-0.2319679015,0.04674815713
2020-11-02 00:00:00,Mon,0.192,0.025,4.5,,8019.641403764857,6816.695193200128,6476,7178,0.1084002471,0.5917747581
2020-11-03 00:00:00,Tue,0.571,0.423,7.2,,10773.20941469544,9157.228002491123,8699,9769,0.123002644,0.3615741273
2020-11-04 00:00:00,Wed,0.136,0.05,4,,9349.5757545563,7947.139391372854,7550,7730,0.0238410596,0.1911699779
2020-11-05 00:00:00,Thu,0.045,0.015,4.1,,8727.595792015483,7418.456423213161,7048,7840,0.1123723042,0.2662220961
2020-11-06 00:00:00,Fri,0.046,0.009,3.1,,7788.035208955348,6619.829927612046,6289,7009,0.1144856098,0.3366194944
2020-11-07 00:00:00,Sat,0,0,3.3,,11264.92749272613,9575.188368817211,9096,8014,-0.1189533861,0.01843301085
2020-11-08 00:00:00,Sun,0,0.001,5,,10007.10398822679,8506.038389992771,8081,9730,0.2040589036,0.4271336056
2020-11-09 00:00:00,Mon,0,0.064,4,,10441,8874.85,7208,10382,0.4403440622,0.6130225675
2020-11-10 00:00:00,Tue,0,0.001,4.1,,11675,9923.75,7820,12850,0.6432225064,0.9416879795
2020-11-11 00:00:00,Wed,0,0.016,34.8,,116510,99033.5,99450,88534,-0.1097637004,-0.1547812971
2020-11-12 00:00:00,Thu,0,0.488,48.1,,7582,6444.7,6256,8419,0.3457480818,0.4491155158
2020-11-13 00:00:00,Fri,0,0.962,41.7,,5607,4765.95,4964,5203,0.04814665592,0.1122078969
2020-11-14 00:00:00,Sat,0,0.963,39.8,,7714,6556.9,9248,7203,-0.2211288927,-0.1890498847
2020-11-15 00:00:00,Sun,0,1,29.2,,10007,8505.949999999999,8364,7335,-0.1230272597,-0.01406822892
2020-11-16 00:00:00,Mon,0,0.999,17.5,,6291,5347.349999999999,5712,4613,-0.1924019608,0.01552287582
2020-11-17 00:00:00,Tue,0.989,0.249,13,,6035,5129.75,5780,3782,-0.3456747405,-0.1987312572
2020-11-18 00:00:00,Wed,0.213,0.741,4.3,,6400,5440,6664,4210,-0.3682472989,-0.2299419768
2020-11-19 00:00:00,Thu,0.286,0.125,4.8,,5717,4859.45,6256,3796,-0.3932225064,-0.3213448423
2020-11-20 00:00:00,Fri,0.352,0.198,10.7,,5376,4569.599999999999,5440,3395,-0.3759191176,-0.3520220588
2020-11-21 00:00:00,Sat,0.002,0.069,2.4,,7516,6388.599999999999,11288,5101,-0.5481041814,-0.5182494685
2020-11-22 00:00:00,Sun,0.02,0.001,2.5,,7078,6016.3,8840,5087,-0.4245475113,-0.3624057315
2020-11-23 00:00:00,Mon,0.007,0.002,2.1,,6451,5483.349999999999,6664,4804,-0.2791116447,-0.1234993998
2020-11-24 00:00:00,Tue,0.007,0,2.3,,7958,6764.3,12376,5702,-0.539269554,-0.4672484378
2020-11-25 00:00:00,Wed,0.007,0,2.2,,9817.860358530254,8345.181304750715,6664,7301,0.09558823529,0.1178971589
2020-11-26 00:00:00,Thu,0,0,2.4,,8564.935358530256,7280.195054750718,6324,5984,-0.05376344086,0.2254374868
2020-11-27 00:00:00,Fri,0.012,0,3.4,,7833.360358530255,6658.356304750717,5372,5058,-0.05845122859,0.3621866468
2020-11-28 00:00:00,Sat,0.007,0.003,2.2,,8295,7050.75,8772,5582,-0.3636570907,-0.1580407357
2020-11-29 00:00:00,Sun,0.033,0,2.5,,8647,7349.95,6596,6204,-0.05942995755,0.2770871235
2020-11-30 00:00:00,Mon,0.006,0.001,2.3,,6946.7859908376595,5904.768092212011,6052,5903,-0.02461996034,0.3502974223
AVG,,0.1006,0.2135,10.37666667,#DIV/0!,11835.22332,10059.93982,10535.53333,9398.3,-0.08573503414,0.08715848607
M-1,,0.08706451613,0.03538709677,3.560382905,#DIV/0!,10003.65541,8402.879074,7576.580645,6819.064516,0.2352972791,0.29391454
Change%,,0.01353548387,0.1781129032,6.816283762,#DIV/0!,1831.567911,1657.060746,2958.952688,2579.235484,-0.3210323133,-0.2067560539
2020-12-01 00:00:00,Tue,0.015,0.001,3.1,,10999.791633271649,9349.822888,7758,8159,0.05168857953,0.1140302989
2020-12-02 00:00:00,Wed,0.011,0.002,2.9,,9326.97979105988,7927.932822,7209,6996,-0.02954640033,0.1317144419
2020-12-03 00:00:00,Thu,0.014,0.031,2.8,,8139.551157404136,6918.618484,6250,6459,0.03344,0.1926117647
2020-12-04 00:00:00,Fri,0.044,0.009,2.7,,8414.077381098761,7151.965774,6471,6710,0.03693401329,0.1085203669
2020-12-05 00:00:00,Sat,0.399,0.001,5.1,,8956.616424098876,7613.12396,6910,6636,-0.03965267728,0.1797905848
2020-12-06 00:00:00,Sun,0.022,0,2.9,,10092.805549943936,8578.884717,7827,6907,-0.1175418423,-0.01848052368
2020-12-07 00:00:00,Mon,0.02,0.001,3.3,,9678.39543995138,8226.636124,8772,9008,0.02690378477,0.1639977468
2020-12-08 00:00:00,Tue,0.076,0.013,2.8,,12294.002788651651,10449.90237,11016,10546,-0.04266521423,0.04441667735
2020-12-09 00:00:00,Wed,0.027,0.285,3.5,,9636.296835949146,8190.852311,8160,9732,0.1926470588,0.2519824106
2020-12-10 00:00:00,Thu,0.081,0.459,4.7,,11445.41552107003,9728.603193,8058,8923,0.1073467362,0.08525688757
2020-12-11 00:00:00,Fri,0.629,0.526,6.3,,12951.897766162076,11009.1131,7684,9259,0.2049713691,0.2241249962
2020-12-12 00:00:00,Sat,0.573,0.466,9.8,,67023,56969.55,59500,51974,-0.126487395,-0.1174740484
2020-12-13 00:00:00,Sun,1,0.269,20.4,,9122.026424098878,7753.72246,9520,9948,0.04495798319,0.1197787939
2020-12-14 00:00:00,Mon,1,0.62,19.2,,6905.786910308831,5869.918874,7956,6586,-0.172197084,-0.0331011741
2020-12-15 00:00:00,Tue,1,0.563,14.5,,6899.016349318565,5864.163897,7616,6411,-0.1582195378,-0.0096314261
2020-12-16 00:00:00,Wed,0.825,0.918,15.8,,8280.50259956842,7038.42721,4587,6495,0.4159581426,0.4510958078
2020-12-17 00:00:00,Thu,0.813,0.94,12.3,,5973.0592735791015,5077.100383,5275,5197,-0.01478672986,0.1109562308
2020-12-18 00:00:00,Fri,0.995,0.068,8,,5880.883981850577,4998.751385,6041,5326,-0.1183578878,-0.08512420032
2020-12-19 00:00:00,Sat,0.274,0.06,2.4,,7964.272796243344,6769.631877,6431,6214,-0.03374280827,0.05660083968
2020-12-20 00:00:00,Sun,0.032,0.001,2.7,,7770.0481176026515,6604.5409,6274,6092,-0.02900860695,0.02144236719
2020-12-21 00:00:00,Mon,0.071,0.006,3.4,,7219.674689602035,6136.723486,5830,7857,0.3476843911,0.2650590253
2020-12-22 00:00:00,Tue,0.031,0.006,2.7,,8029.380233684288,6824.973199,6483,7539,0.1628875521,0.2373538032
2020-12-23 00:00:00,Wed,0.053,0,2.8,,11098.473049134902,9433.702092,8962,9343,0.04251283196,-0.01971723749
2020-12-24 00:00:00,Thu,0.098,0.002,3.5,,12322.974623355653,10474.52843,10920,9315,-0.146978022,-0.243697479
2020-12-25 00:00:00,Fri,0.121,0.003,3.9,,6721.100617641519,5712.935525,6558,5242,-0.2006709363,-0.08190266042
2020-12-26 00:00:00,Sat,0.027,0.002,3,,7865.617886365519,6685.775203,6352,6417,0.01023299748,0.04084864424
2020-12-27 00:00:00,Sun,0.031,0,2.6,,8367.284631569935,7112.191937,6756,6907,0.02235050326,0.1285828719
2020-12-28 00:00:00,Mon,0.119,0.001,4.6,,9913,8426.05,5592,9007,0.6106938484,0.7470861735
2020-12-29 00:00:00,Tue,0.106,0.018,3.2,,9056,7697.6,7218,6808,-0.05680243835,0.1807491076
2020-12-30 00:00:00,Wed,0.046,0.003,3,,9575,8138.75,5787,5589,-0.03421461897,0.1493306498
2020-12-31 00:00:00,Thu,0.065,0.008,3.2,,7507.225307392911,6381.141511,5267,5236,-0.005885703436,0.2413585142
AVG,,0.278,0.1703870968,5.841935484,#DIV/0!,10820.32767,9197.27852,8872.258065,8801.225806,0.03175651254,0.1173406534
M-1,,0.1006,0.2135,10.37666667,#DIV/0!,11835.22332,10059.93982,10535.53333,9398.3,-0.08573503414,0.08715848607
Change%,,0.1774,-0.04311290323,-0.4370123209,#DIV/0!,-0.08575213327,-0.08575213327,-0.1578729065,-0.0635300207,0.1174915467,0.03018216733
2021-01-01 00:00:00,Fri,0.059,0.008,3.2,,7007.6377194319575,5956.492062,5659,5419,-0.04241031984,0.06526476998
2021-01-02 00:00:00,Sat,0.068,0.015,3.9,,8351,7098.35,6743,7069,0.04834643334,0.3706807059
2021-01-03 00:00:00,Sun,0.039,0.012,3.7,,8745,7433.25,7062,7355,0.04148966298,0.2092891532
