cdate,working_code_l1,working_code_l2,working_code_l3,name,workers,total_hour
2022-06-04,INBOUND,MGMT,CONTROL,進貨控場,2,14.7
2022-06-04,INBOUND,OTHERS,ABNORMAL,進貨異常,4,18.2
2022-06-04,INBOUND,OTHERS,FIVES,進貨5S,12,21.3
2022-06-04,INBOUND,PUTAWAY,SHELF,上架基架,6,1.7
2022-06-04,INBOUND,PUTAWAY,TRANSPORT,上架拉貨,1,1.1
2022-06-04,INBOUND,QC,QC,品管,1,1.0
2022-06-04,INBOUND,RECEIVED,SMALL,小驗,3,1.8
2022-06-05,INBOUND,ARRIVAL,DOCK,碼頭收發,1,0.1
2022-06-05,INBOUND,MGMT,CONTROL,進貨控場,1,4.3
2022-06-05,INBOUND,OTHERS,ABNORMAL,進貨異常,2,19.5
2022-06-05,INBOUND,OTHERS,FIVES,進貨5S,9,30.4
2022-06-05,INBOUND,PUTAWAY,SHELF,上架基架,1,0.2
2022-06-05,INBOUND,PUTAWAY,TRANSPORT,上架拉貨,1,0.7
2022-06-06,INBOUND,ARRIVAL,ARRIVAL,收貨,1,5.1
2022-06-06,INBOUND,ARRIVAL,DOCK,碼頭收發,2,5.9
2022-06-06,INBOUND,COUNTING,COUNTING,進貨計數,11,39.5
2022-06-06,INBOUND,LABELING,LABELING,貼標,8,11.4
2022-06-06,INBOUND,LABELING,PRINT,印標,1,6.6
2022-06-06,INBOUND,MGMT,CONTROL,進貨控場,1,15.7
2022-06-06,INBOUND,OTHERS,ABNORMAL,進貨異常,1,9.8
2022-06-06,INBOUND,OTHERS,FIVES,進貨5S,12,13.0
2022-06-06,INBOUND,PUTAWAY,PALLETFOURF,上架棧板_四樓,1,5.0
2022-06-06,INBOUND,PUTAWAY,SHELF,上架基架,7,4.8
2022-06-06,INBOUND,PUTAWAY,TRANSPORT,上架拉貨,4,9.3
2022-06-06,INBOUND,QC,QC,品管,5,4.5
2022-06-06,INBOUND,RECEIVED,BIG,大驗,1,0.5
2022-06-06,INBOUND,RECEIVED,BULKY,箱賣,1,0.8
2022-06-06,INBOUND,RECEIVED,SMALL,小驗,6,17.3
2022-06-07,INBOUND,ARRIVAL,ARRIVAL,收貨,1,6.6
2022-06-07,INBOUND,ARRIVAL,DOCK,碼頭收發,1,5.0
2022-06-07,INBOUND,COUNTING,COUNTING,進貨計數,12,34.5
2022-06-07,INBOUND,LABELING,LABELING,貼標,10,19.7
2022-06-07,INBOUND,LABELING,PRINT,印標,3,11.1
2022-06-07,INBOUND,MGMT,CONTROL,進貨控場,1,9.3
2022-06-07,INBOUND,OTHERS,ABNORMAL,進貨異常,1,10.0
2022-06-07,INBOUND,OTHERS,FIVES,進貨5S,10,7.2
2022-06-07,INBOUND,PUTAWAY,PALLETFOURF,上架棧板_四樓,1,3.0
2022-06-07,INBOUND,PUTAWAY,SHELF,上架基架,5,7.1
2022-06-07,INBOUND,PUTAWAY,TRANSPORT,上架拉貨,3,6.1
2022-06-07,INBOUND,QC,QC,品管,1,6.4
2022-06-07,INBOUND,RECEIVED,CONTROL,貴重驗收,3,8.1
2022-06-07,INBOUND,RECEIVED,SMALL,小驗,6,17.1
2022-06-08,INBOUND,ARRIVAL,ARRIVAL,收貨,1,8.7
2022-06-08,INBOUND,ARRIVAL,DOCK,碼頭收發,2,6.4
2022-06-08,INBOUND,COUNTING,COUNTING,進貨計數,10,23.3
2022-06-08,INBOUND,LABELING,LABELING,貼標,9,23.1
2022-06-08,INBOUND,LABELING,PRINT,印標,1,6.7
2022-06-08,INBOUND,MGMT,CONTROL,進貨控場,1,10.3
2022-06-08,INBOUND,OTHERS,ABNORMAL,進貨異常,1,10.0
2022-06-08,INBOUND,OTHERS,FIVES,進貨5S,12,9.8
2022-06-08,INBOUND,PUTAWAY,PALLETFOURF,上架棧板_四樓,1,3.1
2022-06-08,INBOUND,PUTAWAY,SHELF,上架基架,9,9.5
2022-06-08,INBOUND,PUTAWAY,TRANSPORT,上架拉貨,6,18.2
2022-06-08,INBOUND,QC,QC,品管,2,7.0
2022-06-08,INBOUND,RECEIVED,CONTROL,貴重驗收,1,3.7
2022-06-08,INBOUND,RECEIVED,SMALL,小驗,7,17.1
2022-06-09,INBOUND,ARRIVAL,ARRIVAL,收貨,2,7.6
2022-06-09,INBOUND,ARRIVAL,DOCK,碼頭收發,2,8.4
